,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0-4,603600,611900,623200,633100,642600,640800,637000,634700,631600,621400,611500,594000,574000,555100,539700,529700,536000,545200,559000,572400,588600,610200,624700,655900,691000,716000,768100,811300,841500,889100,934500,936300,955800,975500,992900,1010900,1028400,1045400,1069200,1092700,1120100,1140800,1154800,1163700,1164200,1160253,1149427,1144732,1161609,1187539,1249765,1282526,1296955,1294224,1280596,1237891,1193618,1164572,1142072,1132189,1139618,1155274,1170235,1183833,1199556,1208485,1218684,1229551,1243850,1258152,1271703,1283948,1291143,1295885,1296201,1291502,1291348,1285086,1279683,1273728,1273685,1269042,1269136,1270176,1277539,1294538,1336479,1383093,1425684,1454012,1458114
5-9,597300,602500,601800,593800,590100,602200,613200,626700,637500,644000,637800,629500,624000,620100,611200,602500,586900,567900,550600,536400,528000,535400,544000,557300,569600,583600,602800,619400,657100,703700,745900,814600,868900,900900,939900,978700,978300,997600,1016900,1030500,1047200,1061700,1078500,1103600,1131500,1169749,1197512,1214568,1227196,1228925,1246436,1234356,1224917,1231414,1248172,1281089,1316075,1332073,1323533,1306585,1269554,1235285,1209383,1186399,1175131,1179488,1196138,1218352,1240901,1262302,1272208,1278756,1277100,1278604,1288234,1300463,1312042,1323849,1334389,1341384,1342523,1337431,1329682,1324513,1321041,1324308,1327564,1334683,1346100,1360182,1387634
10-14,530800,546100,560600,579300,596400,606100,613000,613200,605100,599300,608600,615900,626600,635300,641200,635500,627400,622400,619300,610900,603300,588400,569600,551800,537000,526900,533300,543900,562500,583100,605700,632900,654400,692900,738700,780300,850700,908400,943100,980400,1017700,1012900,1029700,1048900,1064300,1089708,1108306,1127118,1157755,1189162,1251076,1275848,1290888,1298622,1290856,1268115,1253952,1246422,1252830,1272220,1316368,1354427,1371402,1365573,1350854,1311545,1272522,1251128,1240167,1234540,1241619,1250375,1263012,1276282,1291138,1302621,1305001,1307586,1315980,1328230,1344025,1358133,1370851,1379535,1384811,1383541,1382818,1383120,1386256,1384504,1387865
15-19,470600,482200,497300,512500,529800,545700,563800,580000,598000,611600,616400,618200,614000,603600,597200,607100,615200,626500,636600,642400,636400,627300,621900,617800,608800,599700,584800,568300,557000,551700,548400,560500,573400,591700,613400,636500,664100,684900,724000,769000,810300,879200,937600,973400,1013000,1055439,1049228,1066046,1086455,1102355,1136296,1163793,1184486,1212671,1233710,1260777,1289521,1305780,1313559,1307557,1297045,1288994,1280881,1287409,1304706,1347222,1386267,1407674,1413172,1402403,1364074,1321217,1290586,1272155,1263274,1271692,1269991,1277699,1292918,1315787,1339986,1351911,1360368,1367889,1379532,1392682,1420721,1447612,1462438,1460048,1453459
20-24,450100,456000,461500,468200,480100,493400,510500,530000,545300,555600,563700,573200,582600,596300,608100,612600,614700,611100,601400,596500,606400,612700,621100,628300,632300,625600,616200,619300,629900,641000,642100,633900,615000,599000,592900,595500,610700,625000,646600,669800,695100,716200,735300,773800,817800,859159,929824,991828,1035159,1075643,1140607,1128504,1138271,1156689,1164852,1173358,1189213,1210115,1240002,1269148,1301866,1333401,1348438,1351931,1349451,1336709,1327203,1325819,1335896,1358360,1396764,1428751,1439495,1434745,1422850,1388756,1349381,1314642,1290648,1279853,1290129,1315683,1350012,1380726,1414648,1448435,1483141,1526362,1581376,1605054,1611663
25-29,462000,457900,456800,455600,465100,472500,485000,495600,503000,507000,511600,518600,529800,540400,549100,557600,567700,578100,593400,606700,611200,611800,604200,590600,582800,591200,599100,613800,641000,677400,695300,703700,704100,701700,700300,700000,689500,672800,661100,654300,653200,662600,677600,699800,721700,746779,772959,797107,840317,887734,962394,1034135,1087695,1124879,1159522,1183288,1171868,1181774,1193297,1209909,1229982,1253635,1270408,1290804,1319507,1348467,1378403,1404606,1424115,1422607,1399663,1381554,1362713,1357609,1372695,1409782,1443103,1455597,1452354,1437419,1393808,1363804,1349310,1343718,1352553,1381588,1431018,1500008,1577309,1627256,1658170
30-34,448200,458700,465200,469700,472600,475000,474400,475500,474300,479500,482200,487700,491900,495800,498600,504000,511300,523200,535700,546300,556000,566600,574600,587200,597600,600400,600600,597600,597900,610600,638400,664200,688600,710400,730500,739600,743500,745700,747400,743400,739200,723600,708200,696600,689600,690202,706602,724571,751499,777426,823969,851346,873135,910432,943941,975387,1050290,1107975,1144415,1180485,1226942,1228574,1238975,1246759,1252655,1269207,1295221,1324509,1358653,1393602,1425735,1450011,1459455,1465842,1456893,1438768,1419912,1404730,1404662,1418215,1457601,1490690,1508950,1509100,1500518,1474144,1457084,1458344,1476377,1498197,1536161
35-39,390200,402700,419800,434800,446100,455900,468100,474300,476500,475200,473500,467500,465600,463300,469100,473500,479400,483700,489300,494100,500100,507900,518400,528800,537000,545300,556100,568600,594100,623200,641000,650600,648200,639600,642600,665700,689500,716800,741900,759800,765800,764100,766000,767700,765400,764780,755675,743856,736523,733253,754860,764741,779074,801717,827478,843214,860335,878380,910187,950531,989072,1073243,1141107,1182742,1227636,1266692,1259563,1275451,1294750,1312770,1328387,1351990,1371387,1389828,1418641,1450189,1473757,1491355,1500920,1496160,1483032,1466094,1451812,1451389,1468398,1508828,1555685,1589553,1604280,1600546,1573910
40-44,332500,344400,355600,368400,379900,391600,405300,421400,433600,441900,449300,457600,461100,462200,461400,460500,455400,454300,453900,462000,467800,474500,478000,481400,483600,487900,495300,508700,527900,549300,570400,592000,608800,628800,648000,658800,663200,659800,652700,655700,678200,700200,727200,751700,769600,776426,778166,783147,789996,787515,803426,796313,779427,766316,753354,749338,761340,774573,790977,809836,833805,865803,890519,928208,968517,1014332,1098199,1166161,1215622,1259216,1294271,1294111,1298452,1312818,1328984,1349686,1372058,1390135,1412784,1440481,1470165,1500565,1520976,1530232,1527646,1516444,1504232,1499409,1512063,1537102,1587244
45-49,283600,287800,296300,305900,317800,329000,341000,351200,361900,370800,381300,392600,406600,418100,427400,435200,443500,446900,448800,449200,449100,445300,444400,443600,450500,455000,460300,464900,473500,482900,494400,508700,525100,541400,557500,574900,594200,611300,632400,650000,659200,661100,656500,649100,652600,677952,700850,728290,753801,771123,797844,797130,802462,803752,804081,795505,779794,764461,751145,741528,735664,748322,767073,791067,818658,842272,868390,896229,938210,982119,1029145,1099416,1166587,1209408,1247671,1288784,1287114,1302126,1320335,1333445,1350245,1370704,1395676,1424317,1451092,1477732,1509850,1537823,1554430,1554804,1541837
50-54,255100,261700,266800,271900,274000,276100,279900,286400,293200,303200,313900,324400,333100,343600,353500,364000,375200,389000,401000,411500,419700,428300,431100,431600,430300,429500,425600,426200,428500,439000,447800,455800,461100,467700,474500,484200,497700,514300,531900,547600,564300,582000,598400,617900,634600,644433,645597,639697,631700,635644,677510,702065,728237,756272,766223,776444,777582,780403,779128,774536,774609,766107,752611,741957,733043,736851,752704,771276,795107,821142,846934,869540,888157,925117,968418,1009952,1089595,1158434,1205150,1249744,1291985,1288296,1297378,1310016,1325456,1347835,1373058,1397815,1430082,1460583,1494063
55-59,217900,222500,228600,235000,240200,245100,249400,251200,253200,254100,256600,260000,266100,273100,283500,294100,304600,313700,324300,334500,344500,355000,368400,379100,387900,395100,402900,405600,407300,407500,409100,407300,409900,411900,420500,428600,436100,441500,448800,455200,464800,477500,494100,510800,526000,543671,558772,572623,588445,599817,616496,623731,623929,619170,629724,650168,671685,696312,721831,736844,740593,746262,753660,756942,759024,755536,747581,738830,732153,726066,725950,739822,757822,777261,799107,823337,851297,877569,916258,957543,1001979,1077904,1144182,1186934,1226445,1257992,1254193,1268595,1287172,1308403,1335993
60-64,169800,177600,186800,195300,200400,203900,207300,211300,214800,217900,221900,225000,225900,228300,230300,233000,236800,243000,250000,260700,270700,280200,288000,297300,305900,314700,324300,336500,347200,356700,365000,373400,376600,377100,376800,377900,377500,380900,383900,391700,398500,405000,410000,416500,424300,434681,446556,461042,475865,487465,516213,530870,546374,565255,578918,585682,589378,589603,583025,590711,613143,636152,663020,691981,708545,719433,723712,731195,735325,738468,736868,727296,716251,710089,707497,706996,721421,740272,764557,792553,816468,839284,861077,895320,935286,978835,1055169,1117615,1157520,1194384,1226000
65-69,107300,117400,127300,136200,144500,151000,156800,163000,168200,171900,175600,178600,182600,185900,188800,191900,195100,196400,198700,200700,203100,206200,211000,216900,226300,235600,244200,250900,259500,266900,274700,283500,295000,305000,313700,320700,328900,332000,333200,333000,334900,334700,339200,341700,349200,355897,361031,366106,374111,380297,399031,411962,426094,438925,451354,466137,481637,495980,513941,528613,536216,542837,543118,538205,546339,570151,595045,621610,649842,662351,671390,677301,683939,684970,686722,688787,686135,680664,675852,672794,677898,693458,711646,732674,754865,773121,800638,827160,865863,908395,954260
70-74,65600,68200,71900,76400,81900,88300,95700,102800,109000,115500,121500,125900,130600,134800,138200,141000,143600,147400,150000,153200,156400,158100,158300,159600,160900,162600,165400,170300,176000,184700,192700,199400,204500,210300,216800,223900,232000,242400,251600,258700,264500,272100,274800,275600,275400,277394,276561,278194,278194,283253,298986,306512,315578,327325,330110,338446,348503,361289,372752,385075,401460,418048,432887,451360,464339,473197,480104,480190,478012,488526,510755,531336,553125,579494,590725,600161,607402,615934,624163,629212,634063,631147,625179,620730,619106,624132,640247,657877,680298,704894,727671
75-79,40500,41700,42800,43900,45400,47000,48500,50500,53200,56400,61200,66400,71600,76300,81600,85800,89000,92500,95700,97900,100100,101500,103400,105200,108500,111000,112300,112600,114000,115100,116800,119100,123500,127900,133800,139800,144600,148300,152900,158400,164700,171000,179100,186000,191200,195915,199748,200551,199467,199400,203537,205285,206131,208292,219710,230297,235475,241489,249727,254037,260611,271841,284401,296760,310310,324442,336542,349041,364578,375228,384495,390838,392684,390062,401419,421314,444155,466920,490129,504118,515848,523355,532369,539518,543829,546681,547710,546932,547565,549808,558341
80-84,19800,20300,21100,21900,23100,23500,24000,24700,25400,26300,27600,28400,29500,30700,32400,35200,38500,41800,44300,47600,50500,52100,53700,56000,57800,58900,59700,61100,62300,64800,66800,67500,67600,68300,69300,70800,72400,75900,78400,82800,86800,89900,91900,94700,98100,102208,105969,111550,115350,117599,121889,124763,127810,130074,130528,133348,134082,136414,138604,146861,154123,159851,166071,174038,178823,185025,194148,202844,210875,220101,229828,239645,251101,265034,274016,281072,287092,291214,293944,307014,327819,345157,362670,379657,391888,401438,410879,420642,428611,436984,444032
85 and over,10200,10300,10000,9300,9200,9200,9600,9700,10100,11100,12300,13300,14200,14500,14900,15200,15300,15500,15800,16500,18000,19200,20100,21300,23900,26100,28400,29700,30900,32000,32700,33100,34800,36400,37600,38700,38900,39400,40400,42000,43700,45900,48000,50100,52400,54852,56295,57609,59572,63199,66930,69784,73075,76542,79866,84599,87886,91640,94704,98691,102589,106191,109283,113423,121218,129296,133448,137698,143188,147175,154247,162728,171799,180265,190397,200905,212233,223772,237538,251122,263442,272552,279463,286278,302191,318692,337136,352556,368229,386594,403607
Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period not indicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,5455100,5569900,5693400,5811200,5939200,6056300,6182500,6302200,6393900,6462700,6526500,6576800,6629800,6677400,6726200,6778400,6835600,6898600,6967800,7039500,7109900,7180700,7234900,7309700,7391700,7465100,7579400,7708700,7908100,8178700,8421700,8636500,8815300,8986500,9199700,9425500,9640200,9842400,10056400,10275000,10508200,10700500,10906900,11121600,11340900,11599498,11799078,12008635,12263014,12507349,13067265,13303664,13504538,13722571,13892995,14033083,14192234,14359255,14515729,14695356,14923260,15184247,15393472,15579391,15788312,16018350,16263874,16532164,16814416,17065128,17284036,17478635,17634808,17805468,18004882,18224767,18423037,18607584,18812264,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024
